business_id,name,address,city,state,postal_code,latitude,longitude,phone_number
5430,ANNIE'S HOT DOGS, POWELL & MARKET ST (S/E),San Francisco,CA,94102,37.779847,-122.418985,14158610778
5434,ANNIE'S HOT DOGS, STOCKTON & O'FARRELL ST (N/W),San Francisco,CA,94102,37.779847,-122.418985,14158610778
5441,ANNIE'S HOT DOGS,STOCKTON & MARKET & ELLIS ST (NW),San Francisco,CA,94102,37.779847,-122.418985,14158610778
83843,ANNIE'S HOT DOGS,1330 25TH ST ,San Francisco,CA,94107,,,14158610778
60547,ANNIE'S HOT DOGS," GOLDEN GATE PARK, MUSIC CONCOURSE  ",San Francisco,CA,,37.777122,-122.419639,
60548,ANNIE'S HOT DOGS," GOLDEN GATE PARK, JFK DR.@CONSERVATORY OF FLOWERS  ",San Francisco,CA,,37.777122,-122.419639,
60549,ANNIE'S HOT DOGS," GOLDEN GATE PARK, SPRECKLES LAKE  ",San Francisco,CA,,37.777122,-122.419639,
60550,ANNIE'S HOT DOGS," GOLDEN GATE PARK, JFK DR.@8TH AVE  ",San Francisco,CA,,37.777122,-122.419639,14158610778
60551,ANNIE'S HOT DOGS," GOLDEN GATE PARK, CAROUSEL SNACK BAR  ",San Francisco,CA,,37.777122,-122.419639,
5463,AT&T Park,24 WILLIE MAYS PLAZA  ,San Francisco,CA,94107,,,14159721500
5521,AT&T Park,24 WILLIE MAYS PL ,San Francisco,CA,94107,,,
5467,AT&T Park,24 WILLIE MAYS PLAZA  ,San Francisco,CA,94107,,,14159721500
5634,AT&T Park,24 WILLIE MAYS PLAZA 1.24.06  ,San Francisco,CA,94107,37.778382,-122.391151,14159721500
10377,AT&T Park,24 WILLIE MAYS PLAZA,San Francisco,CA,94107,,,14159024138
11487,AT&T Park,24 WILLIE MAYS PL,San Francisco,CA,94107,,,14154743938
11488,AT&T Park,24 WILLIE MAYS PL ,San Francisco,CA,94107,,,14154743938
5544,AT&T Park,24 WILLIE MAYS PLAZA,San Francisco,CA,94107,,,
5528,AT&T Park,24 WILLIE MAYS PLAZA,San Francisco,CA,94107,,,14152520502
5619,AT&T Park,24 WILLIE MAYS PLAZA 4.21.02  ,San Francisco,CA,94107,37.778382,-122.391151,14159721500
5475,AT&T Park,24 WILLIE MAYS PLAZA  ,San Francisco,CA,94107,,,14159721500
76223,AT&T Park,24 WILLIE MAYS PLAZA  ,San Francisco,CA,94107,,,14153710727
74336,AT&T Park,24 WILLIE MAYS PLAZA  ,San Francisco,CA,94107,,,14159721500
5524,AT&T Park,24 WILLIE MAYS PLAZA,San Francisco,CA,94107,,,
5523,AT&T Park,24 WILLIE MAYS PLAZA,San Francisco,CA,94107,,,
90989,AT&T Park,24 WILLIE MAYS PLAZA  ,San Francisco,CA,94107,,,14157546640
90990,AT&T Park,24 WILLIE MAYS PLAZA  ,San Francisco,CA,94107,,,14157546640
90991,AT&T Park,24 WILLIE MAYS PLAZA  ,San Francisco,CA,94107,,,14157546640
79006,AT&T Park,24 WILLIE MAYS PLAZA  ,San Francisco,CA,94107,,,14159721500
79010,AT&T Park,24 WILLIE MAYS PLAZA  ,San Francisco,CA,94107,,,14159721500
78368,AT&T Park,24 WILLIE MAYS PLAZA   ,San Francisco,CA,94107,,,14159721500
76233,AT&T Park,24 WILLIE MAYS PLAZA  ,San Francisco,CA,94107,,,14153710727
74327,AT&T Park,24 WILLIE MAYS PLAZA  ,San Francisco,CA,94107,,,14159521500
36494,BLUE BOTTLE COFFEE,66 MINT ST ,San Francisco,CA,94103,37.782368,-122.40743,14154182312
80974,BLUE BOTTLE COFFEE,1 MINT PLAZA  ,San Francisco,CA,94103,,,14152200022
82429,BLUE BOTTLE COFFEE,1355 MARKET ST ,San Francisco,CA,94103,,,14154357350
82930,BLUE BOTTLE COFFEE,115 SANSOME ST ,San Francisco,CA,94104,,,14154357350
85051,BLUE BOTTLE COFFEE,1 FERRY BUILDING  KIOSK #56,San Francisco,CA,94111,,,14156533394
89569,BLUE BOTTLE COFFEE,2 SOUTH PARK  ,San Francisco,CA,94107,,,14153503600
