business_id,date,description
66,20180420,Unclean or degraded floors walls or ceilings
66,20170703,Inadequate warewashing facilities or equipment  [ date violation corrected: 4/20/2018 ]
66,20170703,Unclean or degraded floors walls or ceilings  [ date violation corrected: 4/20/2018 ]
66,20160322,Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 9/2/2016 ]
80,20171204,Other low risk violation
80,20171204,Food safety certificate or food handler card not available
80,20160412,Improper food storage  [ date violation corrected: 12/4/2017 ]
81,20171205,Other low risk violation
198,20171129,Food safety certificate or food handler card not available
198,20171129,Inadequately cleaned or sanitized food contact surfaces
198,20170130,Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 11/29/2017 ]
198,20170130,Improper thawing methods   [ date violation corrected: 11/29/2017 ]
198,20151029,Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 1/30/2017 ]
198,20151029,Moderate risk food holding temperature   [ date violation corrected: 1/30/2017 ]
300,20171208,Inadequate food safety knowledge or lack of certified food safety manager
300,20171208,Unapproved or unmaintained equipment or utensils  [ date violation corrected: 12/8/2017 ]
300,20171208,Inadequate warewashing facilities or equipment  [ date violation corrected: 12/8/2017 ]
300,20171208,Moderate risk food holding temperature   [ date violation corrected: 12/8/2017 ]
300,20171208,Permit license or inspection report not posted  [ date violation corrected: 12/9/2017 ]
300,20160413,Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 12/8/2017 ]
300,20160413,Moderate risk food holding temperature   [ date violation corrected: 4/15/2016 ]
300,20160413,Foods not protected from contamination  [ date violation corrected: 12/8/2017 ]
300,20160413,Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 12/8/2017 ]
300,20160413,Unclean hands or improper use of gloves  [ date violation corrected: 4/15/2016 ]
300,20160413,Inadequate and inaccessible handwashing facilities  [ date violation corrected: 4/15/2016 ]
300,20160413,Contaminated or adulterated food  [ date violation corrected: 4/15/2016 ]
631,20180709,Moderate risk vermin infestation
631,20180709,Unapproved or unmaintained equipment or utensils
631,20180709,Unclean or unsanitary food contact surfaces
631,20180314,Unapproved or unmaintained equipment or utensils  [ date violation corrected: 3/22/2018 ]
631,20180314,Unclean or degraded floors walls or ceilings  [ date violation corrected: 7/9/2018 ]
631,20180314,High risk food holding temperature   [ date violation corrected: 3/22/2018 ]
631,20180314,Improper food storage  [ date violation corrected: 3/22/2018 ]
631,20160930,Unclean or degraded floors walls or ceilings  [ date violation corrected: 3/14/2018 ]
1085,20171207,Inadequate and inaccessible handwashing facilities  [ date violation corrected: 12/7/2017 ]
1085,20161209,Inadequate and inaccessible handwashing facilities  [ date violation corrected: 12/7/2017 ]
1085,20161209,Unclean or degraded floors walls or ceilings  [ date violation corrected: 12/7/2017 ]
1085,20161209,Inadequate dressing rooms or improper storage of personal items  [ date violation corrected: 12/7/2017 ]
1085,20151104,Inadequate dressing rooms or improper storage of personal items
1103,20170928,Unclean or degraded floors walls or ceilings
1103,20170928,Low risk vermin infestation  [ date violation corrected: 10/6/2017 ]
1103,20161129,Low risk vermin infestation  [ date violation corrected: 9/27/2017 ]
1103,20151224,Unclean or degraded floors walls or ceilings  [ date violation corrected: 11/29/2016 ]
1103,20151224,Inadequate warewashing facilities or equipment  [ date violation corrected: 11/29/2016 ]
1111,20180605,No hot water or running water  [ date violation corrected: 6/8/2018 ]
1111,20180605,Low risk vermin infestation  [ date violation corrected: 6/8/2018 ]
1111,20180605,Inadequately cleaned or sanitized food contact surfaces
1111,20170302,Unclean or degraded floors walls or ceilings  [ date violation corrected: 6/5/2018 ]
1111,20170302,Food safety certificate or food handler card not available  [ date violation corrected: 6/5/2018 ]
1111,20170302,Moderate risk vermin infestation  [ date violation corrected: 6/5/2018 ]
1111,20170302,Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 6/5/2018 ]
1111,20160621,Moderate risk vermin infestation  [ date violation corrected: 3/2/2017 ]
1111,20160621,Improper or defective plumbing  [ date violation corrected: 3/2/2017 ]
1111,20160621,High risk food holding temperature   [ date violation corrected: 6/21/2016 ]
1116,20180330,Inadequate and inaccessible handwashing facilities
1116,20180330,Unclean or degraded floors walls or ceilings
1116,20170929,Unclean or unsanitary food contact surfaces  [ date violation corrected: 10/2/2017 ]
1116,20170928,Inadequate and inaccessible handwashing facilities  [ date violation corrected: 10/2/2017 ]
1116,20170928,Unclean or unsanitary food contact surfaces  [ date violation corrected: 10/2/2017 ]
1116,20160912,Permit license or inspection report not posted  [ date violation corrected: 9/28/2017 ]
1116,20160912,Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 9/28/2017 ]
1122,20171214,Improper or defective plumbing
1122,20171214,Unclean or degraded floors walls or ceilings
1122,20171214,Low risk vermin infestation
1122,20161014,Inadequate and inaccessible handwashing facilities  [ date violation corrected: 12/14/2017 ]
1122,20161014,Moderate risk vermin infestation  [ date violation corrected: 12/14/2017 ]
1122,20161014,Permit license or inspection report not posted  [ date violation corrected: 12/14/2017 ]
1122,20161014,Inadequate sewage or wastewater disposal  [ date violation corrected: 12/14/2017 ]
1122,20160329,Improper or defective plumbing  [ date violation corrected: 10/14/2016 ]
1122,20160329,Improper storage of equipment utensils or linens  [ date violation corrected: 10/14/2016 ]
1122,20160329,Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 10/14/2016 ]
1125,20170816,Food safety certificate or food handler card not available
1125,20170816,Unclean or degraded floors walls or ceilings
1125,20160527,Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 8/16/2017 ]
1125,20160527,Unclean or degraded floors walls or ceilings  [ date violation corrected: 8/16/2017 ]
1127,20171004,Inadequate warewashing facilities or equipment
1127,20171004,Unclean or degraded floors walls or ceilings
